Code,BF URL,Estate URL,Variant,Mann URL,Mann Variant,,,
Postmix dry mix 25KG,https://bingleyfencing.co.uk/products/post-mix,https://www.estatesawmills.com/product/post-concrete-remix-post-mix/,,https://www.manninghamconcrete.co.uk/fencing-decking/posts-aggregates/hanson-fastset-post-mix-polybag-20kg/,,,,						
Cement 25KG,https://bingleyfencing.co.uk/products/cement-25kg-bag,https://www.estatesawmills.com/product/mannok-cement/,,https://www.manninghamconcrete.co.uk/building-supplies/aggregates/cement/plastic-bagged-25kg-cement-multi-cem/,,,,				
SHG180,https://bingleyfencing.co.uk/products/square-horizontal-euro-gate,https://www.estatesawmills.com/product/square-horizontal-gate-shg180/,0.9m x 1.8m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/gates/square-horizontal-gate-1-8m-h-x-9m-w/,,,,		

