Code,BF URL,Estate URL,Variant,Mann URL,Mann Variant,,,
OLT90,https://bingleyfencing.co.uk/products/omega-lattice-top-fence-panels-near-me?variant=40896837976250,https://www.estatesawmills.com/product/omega-with-trellis-olt180-150-120-90/,1.8m x 0.9m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/omega-lattice-top-fence-panel/,0.9 METER (3FT),,,
FEB24,https://bingleyfencing.co.uk/products/feather-edge-boards-near-me?variant=40901337284794,https://www.estatesawmills.com/product/feathered-edge-boards-125mm-wide/,2.4m x 125mm,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/22-x-125-featheredge-board/,2.4 Metre (7ft 10"),,,
FEB18,https://bingleyfencing.co.uk/products/feather-edge-boards-near-me?variant=40901337383098,https://www.estatesawmills.com/product/feathered-edge-boards-125mm-wide/,1.8m x 125mm,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/22-x-125-featheredge-board/,1.8M METER (6FT),,,
FEB15,https://bingleyfencing.co.uk/products/feather-edge-boards-near-me?variant=40901337350330,https://www.estatesawmills.com/product/feathered-edge-boards-125mm-wide/,1.5m x 125mm,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/22-x-125-featheredge-board/,1.5 METER (5FT),,,
FEB12,https://bingleyfencing.co.uk/products/feather-edge-boards-near-me?variant=40901337317562,https://www.estatesawmills.com/product/feathered-edge-boards-125mm-wide/,1.2m x 125mm,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/22-x-125-featheredge-board/,1.2 METER (4FT),,,
PB224,https://bingleyfencing.co.uk/products/paling-boards-100mm-x-16mm?variant=40915292782778,https://www.estatesawmills.com/product/paling-boards-timber/,2.4m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-16mm-sawn-treated-timber/,2.4 Metre (7ft 10"),,,
PB218,https://bingleyfencing.co.uk/products/paling-boards-100mm-x-16mm?variant=41033700278458,https://www.estatesawmills.com/product/paling-boards-timber/,1.8m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-16mm-sawn-treated-timber/,n/a,,,
PB215,https://bingleyfencing.co.uk/products/paling-boards-100mm-x-16mm?variant=40915292750010,https://www.estatesawmills.com/product/paling-boards-timber/,1.5m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-16mm-sawn-treated-timber/,n/a,,,
PB212,https://bingleyfencing.co.uk/products/paling-boards-100mm-x-16mm?variant=40915292717242,https://www.estatesawmills.com/product/paling-boards-timber/,1.2m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-16mm-sawn-treated-timber/,n/a,,,
PB336,https://bingleyfencing.co.uk/products/paling-boards-bradford?variant=40915340132538,https://www.estatesawmills.com/product/100mm-x-22mm/,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-22mm-sawn-treated-timber/,3.6 Metre (11ft 10"),,,
